acc_within_10deg_mean,angle_mae_std,d_freq,epsilon,false_alarms_mean,freq_high_hz,freq_low_hz,layout_mae_std,mae_deg_matched_mean,mdl_beta,misses_mean,nfft,overlap,power_thresh_percentile,recall_mean,runtime_seconds_mean,state,trial_number,value,window_ms
0.28125,27.851447448920855,,,0.0,1600,900,3.75,43.75,,0.625,3840,0.8500000000000001,,0.6875,1.8022621973359492,COMPLETE,152,0.35667573545824205,240
0.4375,24.01055676025652,,,0.0,2000,100,8.71875,33.53125,,0.8125,3840,0.8500000000000001,,0.59375,4.312569557514507,COMPLETE,153,0.36453442196294794,240
0.4375,24.01055676025652,,,0.0,2000,100,8.71875,33.53125,,0.8125,3840,0.8500000000000001,,0.59375,4.6534490455524065,COMPLETE,154,0.36453442196294794,240
0.34375,28.595986934358464,,,0.0,1600,100,0.4375,47.1875,,0.6875,3840,0.8500000000000001,,0.65625,3.7503691350866575,COMPLETE,155,0.3809401808830906,240
0.4375,24.17205175274743,,,0.0,2000,100,8.96875,33.46875,,0.8125,3840,0.8,,0.59375,3.86501803540159,COMPLETE,156,0.36443156747382605,240
0.34375,28.5199354618835,,,0.0,1600,100,0.1875,47.3125,,0.6875,3840,0.8,,0.65625,3.1534807295829523,COMPLETE,157,0.3867874194980885,240
0.34375,28.5199354618835,,,0.0,1600,100,0.1875,47.3125,,0.6875,3840,0.8,,0.65625,3.505318849114701,COMPLETE,158,0.3867874194980885,240
0.34375,28.5199354618835,,,0.0,1600,100,0.1875,47.3125,,0.6875,3840,0.8,,0.65625,3.2633776311413385,COMPLETE,159,0.3867874194980885,240
0.34375,28.5199354618835,,,0.0,1600,100,0.1875,47.3125,,0.6875,3840,0.8,,0.65625,3.2711636449676007,COMPLETE,160,0.3867874194980885,240
0.34375,28.5199354618835,,,0.0,1600,100,0.1875,47.3125,,0.6875,3840,0.8,,0.65625,3.2786719003343023,COMPLETE,161,0.3867874194980885,240
0.34375,28.5199354618835,,,0.0,1600,100,0.1875,47.3125,,0.6875,3840,0.8,,0.65625,3.37337883838336,COMPLETE,162,0.3867874194980885,240
